"species","RCP","OA","meanlatinit","meanslope","decshift"
690470,"R85","Y",9.8747794511341,-0.00190279173928808,-2.11209883060977
690595,"R85","N",12.5868745144276,0.0280420525277608,31.1266783058145
690595,"R85","Y",12.5868490387696,0.0279799273333928,31.057719340066
690598,"R85","N",34.2787827787269,0.00356033373117493,3.95197044160417
690598,"R85","Y",34.2819864353021,0.00361850375362672,4.01653916652566
690606,"R85","N",-40.1660277944028,-0.000482424819289784,-0.53549154941166
690606,"R85","Y",-40.1660227511882,-0.000482278171991586,-0.535328770910661
690608,"R85","N",50.5245883673922,0.0133197115534272,14.7848798243042
690608,"R85","Y",50.5235848495837,0.0123218320111114,13.6772335323337
690609,"R85","N",-8.21149454891026,-0.00764044483902702,-8.48089377132
690609,"R85","Y",-8.20789836209447,-0.00786799935449573,-8.73347928349026
690610,"R85","N",20.2514397382976,-0.00419929020642124,-4.66121212912757
690610,"R85","Y",20.2475876553387,-0.00460463821245095,-5.11114841582056
690611,"R85","N",26.4070431362707,-0.00763047605485123,-8.46982842088487
690611,"R85","Y",26.4070450204231,-0.0146723481634703,-16.286306461452
690612,"R85","N",54.2277697797413,-0.00136536610093918,-1.51555637204249
690612,"R85","Y",54.2270621593167,-0.00179072753763415,-1.98770756677391
690615,"R85","N",46.3878344796925,0.0217810702952763,24.1769880277567
690615,"R85","Y",46.3863677133859,0.0211411525630436,23.4666793449784
690616,"R85","N",52.7903542441307,-0.0072370521845815,-8.03312792488547
690616,"R85","Y",52.7900972314239,-0.00800266449403355,-8.88295758837724
690617,"R85","N",49.6535373160735,0.0118005439355761,13.0986037684894
690617,"R85","Y",49.6505666103703,0.0109812051539936,12.1891377209329
690618,"R85","N",50.0372326968143,0.0158913501465445,17.6393986626644
690618,"R85","Y",50.0466939896551,0.0155489423621982,17.25932602204
690619,"R85","N",13.0424703360886,0.00607226177891119,6.74021057459142
690619,"R85","Y",13.0409932122334,0.00585808803244397,6.50247771601281
690621,"R85","N",53.3032409124211,-0.0216363085612527,-24.0163025029905
690621,"R85","Y",53.3031870268006,-0.0217164633115843,-24.1052742758586
690622,"R85","N",58.3068181504758,7.07026656319719e-05,0.0784799588514888
690622,"R85","Y",58.3068280268406,0.000100380172699164,0.111421991696072
690624,"R85","N",-20.9760488185404,-0.00766501158912915,-8.50816286393336
690624,"R85","Y",-20.9760477418508,-0.00766500718963603,-8.508157980496
690625,"R85","N",23.4543424311074,0.00183086712964469,2.0322625139056
690625,"R85","Y",23.4543425184749,0.00182934874677419,2.03057710891935
690628,"R85","N",28.5146017894107,-0.00538126540433761,-5.97320459881475
690628,"R85","Y",28.5128305389183,-0.00555004094746817,-6.16054545168966
690629,"R85","N",4.2970534277387,-0.00306306630896559,-3.40000360295181
690629,"R85","Y",4.29703636619065,-0.00301620743029234,-3.3479902476245
690631,"R85","N",52.110902707076,0.00883267515922904,9.80426942674424
690631,"R85","Y",52.1107969603109,0.00883653810563903,9.80855729725932
690651,"R85","N",48.7754249480035,-0.00276819718189573,-3.07269887190426
690651,"R85","Y",48.7732327334254,-0.00396865834123724,-4.40521075877334
690658,"R85","N",36.2629567665136,0.0835453536227601,92.7353425212637
690658,"R85","Y",36.2629567665136,0.0835478889368877,92.7381567199454
690665,"R85","N",53.0336051372715,0.00268978573082804,2.98566216121913
690665,"R85","Y",53.0331856858765,0.00219231825599623,2.43347326415581
690671,"R85","N",50.7323334786627,-0.00308856922731606,-3.42831184232083
690671,"R85","Y",50.7299059596094,-0.00332441827154938,-3.69010428141982
690674,"R85","N",-35.3910947777517,-0.00352916550515047,-3.91737371071702
690674,"R85","Y",-35.3910977666817,-0.00352529997855834,-3.91308297619976
690675,"R85","N",49.6133168643036,-0.0206919316251737,-22.9680441039428
690675,"R85","Y",49.6000392766228,-0.0630500974688232,-69.9856081903938
690676,"R85","N",46.8403666805257,-0.00752077706540187,-8.34806254259608
690676,"R85","Y",46.840331304524,-0.00761545364673841,-8.45315354787963
690677,"R85","N",-41.3430198354009,0.00157791432957983,1.75148490583361
690677,"R85","Y",-41.3403983004648,0.00313785518495185,3.48301925529655
690678,"R85","N",50.484950293892,0.00535430222561875,5.94327547043681
