"species","RCP","OA","meanRangeDiff","meanRangePerCh"
690628,"R85","Y",-17992.932060606,-4.85527182725039
690629,"R85","N",-97216.8394242423,-6.6027614714533
690629,"R85","Y",-97304.7185151514,-6.60869841363745
690631,"R85","N",-101159.862575758,-22.3559191634594
690631,"R85","Y",-110610.954333333,-24.3744260272426
690651,"R85","N",23174.2389090909,1.93333902465809
690651,"R85","Y",17723.9743636363,1.47926620818337
690658,"R85","N",2462198.29336364,380.846828976918
690658,"R85","Y",2452567.46093939,379.383219370346
690665,"R85","N",-12896.3057575758,-6.23173479828709
690665,"R85","Y",-12794.6939393939,-6.183072871129
690671,"R85","N",-76537.3742727272,-11.1022674465051
690671,"R85","Y",-77402.4718484848,-11.2279998158967
690674,"R85","N",-9924.68739393939,-2.54233585698162
690674,"R85","Y",-9924.68739393939,-2.54233585698162
690675,"R85","N",-680726.950272727,-56.4517863389564
690675,"R85","Y",-979194.776909091,-82.8357392839525
690676,"R85","N",-57930.7774848484,-5.22953690450735
690676,"R85","Y",-58405.2302121211,-5.27239269419065
690677,"R85","N",8153.95563636362,3.88920551547324
690677,"R85","Y",6924.03442424242,3.34394107972387
690678,"R85","N",-136215.158515152,-6.579243721783
690678,"R85","Y",-395438.116757576,-18.9622570985241
690679,"R85","N",66533.0021212121,9.60047023405723
690679,"R85","Y",66533.0021212121,9.60047023405723
690680,"R85","N",-22761.2664848485,-5.57961176853577
690680,"R85","Y",-23215.5989090909,-5.69100043379238
690681,"R85","N",-1448671.49512121,-37.6544300694276
690681,"R85","Y",-1460490.953,-38.0124898365318
690682,"R85","N",-190.30700000001,-0.100139031326852
690682,"R85","Y",-190.30700000001,-0.100139031326852
690684,"R85","N",-713938.083181818,-31.9114678779697
690684,"R85","Y",-717684.810151515,-32.0797489336712
690686,"R85","N",-4420.75803030298,-0.326362313935834
690686,"R85","Y",-11544.9671212121,-0.887792642441899
690688,"R85","N",-307719.813242424,-34.400388435432
690688,"R85","Y",-356784.375060606,-40.8262588419213
690690,"R85","N",-58444.0447272727,-22.7920030190358
690690,"R85","Y",-58444.0447272727,-22.7920030190358
690692,"R85","N",-38.2506666666595,-0.0103867661557478
690692,"R85","Y",-38.2506666666595,-0.0103867661557478
690693,"R85","N",-141663.242787878,-6.04178965772713
690693,"R85","Y",-91930.8988484847,-3.92506410696667
690694,"R85","N",-152509.585666667,-28.2356635154877
690694,"R85","Y",-157565.624151515,-29.2018598420835
690696,"R85","N",7438.90569696971,1.17894850500564
690696,"R85","Y",7008.20115151516,1.11163841821488
690750,"R85","N",32504.4128787878,1.05970913347396
690750,"R85","Y",29669.4019696969,0.972099876332406
690751,"R85","N",-6970.41684848484,-3.3547074684468
690751,"R85","Y",-6970.41684848484,-3.3547074684468
