"lme","Year","RCP","MMA.MeanCat","MMA.TrimMeanCat","MMA.MedCat","Count"
0,2054,"R85",-1.89029345655437,-1.89029345655437,-0.735045736841144,206
0,2055,"R26",-0.638768317542053,-0.638768317542053,-0.123905391181912,206
0,2055,"R85",-1.95009314059921,-1.95009314059921,-0.729598952508149,206
0,2056,"R26",-0.636203513893027,-0.636203513893027,-0.117597369684622,206
0,2056,"R85",-1.99858639559149,-1.99858639559149,-0.716210585956988,206
0,2057,"R26",-0.645437404409298,-0.645437404409298,-0.126199673103336,206
0,2057,"R85",-2.05601906398148,-2.05601906398148,-0.724148932622203,206
0,2058,"R26",-0.648022833229648,-0.648022833229648,-0.1105683709275,206
0,2058,"R85",-2.10178433577678,-2.10178433577678,-0.760628732287791,206
0,2059,"R26",-0.63019428781941,-0.63019428781941,-0.0880277544596713,206
0,2059,"R85",-2.17829108291689,-2.17829108291689,-0.748186405773506,206
0,2060,"R26",-0.652876019498881,-0.652876019498881,-0.0851040062766796,206
0,2060,"R85",-2.22834952272366,-2.22834952272366,-0.785228910053387,206
0,2061,"R26",-0.666037881341046,-0.666037881341046,-0.0932654381662502,206
0,2061,"R85",-2.25846663733087,-2.25846663733087,-0.776885218549025,206
0,2062,"R26",-0.6690401295369,-0.6690401295369,-0.0842135093023247,206
0,2062,"R85",-2.33011865151356,-2.33011865151356,-0.815969935743455,206
0,2063,"R26",-0.665327559460667,-0.665327559460667,-0.091737823270523,206
0,2063,"R85",-2.35553153068932,-2.35553153068932,-0.805221687532963,206
0,2064,"R26",-0.636558487729222,-0.636558487729222,-0.0826472536330262,206
0,2064,"R85",-2.41116901855413,-2.41116901855413,-0.83073033918221,206
0,2065,"R26",-0.648461215671294,-0.648461215671294,-0.0994697912853686,206
0,2065,"R85",-2.42407168436277,-2.42407168436277,-0.843966740744092,206
0,2066,"R26",-0.642405206303925,-0.642405206303925,-0.0744066885062856,206
0,2066,"R85",-2.44926947773774,-2.44926947773774,-0.848279648193834,206
0,2067,"R26",-0.653178608093761,-0.653178608093761,-0.0723292715872471,206
0,2067,"R85",-2.49649705346205,-2.49649705346205,-0.852132254494201,206
0,2068,"R26",-0.643820892162574,-0.643820892162574,-0.0651748534852521,206
0,2068,"R85",-2.53334189849506,-2.53334189849506,-0.873932870948506,206
0,2069,"R26",-0.640196618337746,-0.640196618337746,-0.0707085644902267,206
0,2069,"R85",-2.51196811523741,-2.51196811523741,-0.882596285635378,206
0,2070,"R26",-0.635707238236024,-0.635707238236024,-0.0458982937270462,206
0,2070,"R85",-2.53623350533533,-2.53623350533533,-0.898833041892541,206
0,2071,"R26",-0.626473187738597,-0.626473187738597,-0.057239872666142,206
0,2071,"R85",-2.60700547542102,-2.60700547542102,-0.934356978021145,206
0,2072,"R26",-0.638446961081116,-0.638446961081116,-0.0513530694901346,206
0,2072,"R85",-2.62218293353697,-2.62218293353697,-0.938677676368621,206
0,2073,"R26",-0.664204971620683,-0.664204971620683,-0.0544615965882607,206
0,2073,"R85",-2.6814042036667,-2.6814042036667,-0.949733702612771,206
0,2074,"R26",-0.657195229935431,-0.657195229935431,-0.0581028368701753,206
0,2074,"R85",-2.66577598078173,-2.66577598078173,-0.933012608088791,206
0,2075,"R26",-0.658564090523831,-0.658564090523831,-0.0458700640189481,206
0,2075,"R85",-2.69368046189703,-2.69368046189703,-0.946752681282447,206
0,2076,"R26",-0.65950662742994,-0.65950662742994,-0.0552903143821772,206
0,2076,"R85",-2.74520836656879,-2.74520836656879,-0.983860774002755,206
0,2077,"R26",-0.649524679835228,-0.649524679835228,-0.0552022326293977,206
0,2077,"R85",-2.76466005935845,-2.76466005935845,-0.933334868365262,206
0,2078,"R26",-0.641407284814925,-0.641407284814925,-0.0570939399525526,206
0,2078,"R85",-2.82563316823234,-2.82563316823234,-0.93165075671789,206
0,2079,"R26",-0.653248228806145,-0.653248228806145,-0.0549099421974543,206
0,2079,"R85",-2.8433991682219,-2.8433991682219,-0.967727198963626,206
0,2080,"R26",-0.636135632261577,-0.636135632261577,-0.0505875544904454,206
0,2080,"R85",-2.86182381915518,-2.86182381915518,-0.96970879191029,206
0,2081,"R26",-0.629009477856571,-0.629009477856571,-0.0474542067246767,206
0,2081,"R85",-2.88399626457054,-2.88399626457054,-0.983582865511277,206
0,2082,"R26",-0.604289344430829,-0.604289344430829,-0.0451630219669372,206
0,2082,"R85",-2.90954050393006,-2.90954050393006,-0.979923064095927,206
0,2083,"R26",-0.582403763144276,-0.582403763144276,-0.0485894440402211,206
0,2083,"R85",-2.95376783137932,-2.95376783137932,-1.01555450314045,206
0,2084,"R26",-0.583504609636582,-0.583504609636582,-0.0393544180605137,206
